## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT SRR064546_s.bam --OUTPUT mark_dup_SRR064546.bam --METRICS_FILE mark_dup_SRR064546.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 17 16:07:53 CEST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	162824	780011	519544	249888	50075	37988	0	0.073164	7745847

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	706124	706124
2.0	1.904204	33943	33943
3.0	2.721788	1842	1842
4.0	3.461051	99	99
5.0	4.129495	13	13
6.0	4.733905	0	0
7.0	5.280415	2	2
8.0	5.774571	0	0
9.0	6.221389	0	0
10.0	6.625403	0	0
11.0	6.990715	0	0
12.0	7.32103	0	0
13.0	7.619703	0	0
14.0	7.889764	0	0
15.0	8.133955	0	0
16.0	8.354752	0	0
17.0	8.554399	0	0
18.0	8.734919	0	0
19.0	8.898147	0	0
20.0	9.045738	0	0
21.0	9.17919	0	0
22.0	9.299858	0	0
23.0	9.408967	0	0
24.0	9.507623	0	0
25.0	9.596829	0	0
26.0	9.677489	0	0
27.0	9.750422	0	0
28.0	9.816368	0	0
29.0	9.875997	0	0
30.0	9.929913	0	0
31.0	9.978665	0	0
32.0	10.022747	0	0
33.0	10.062605	0	0
34.0	10.098645	0	0
35.0	10.131233	0	0
36.0	10.160699	0	0
37.0	10.187342	0	0
38.0	10.211433	0	0
39.0	10.233216	0	0
40.0	10.252913	0	0
41.0	10.270722	0	0
42.0	10.286826	0	0
43.0	10.301387	0	0
44.0	10.314553	0	0
45.0	10.326457	0	0
46.0	10.337221	0	0
47.0	10.346955	0	0
48.0	10.355755	0	0
49.0	10.363713	0	0
50.0	10.370908	0	0
51.0	10.377414	0	0
52.0	10.383297	0	0
53.0	10.388616	0	0
54.0	10.393426	0	0
55.0	10.397775	0	0
56.0	10.401707	0	0
57.0	10.405263	0	0
58.0	10.408478	0	0
59.0	10.411385	0	0
60.0	10.414013	0	0
61.0	10.41639	0	0
62.0	10.418539	0	0
63.0	10.420482	0	0
64.0	10.422239	0	0
65.0	10.423828	0	0
66.0	10.425264	0	0
67.0	10.426563	0	0
68.0	10.427738	0	0
69.0	10.4288	0	0
70.0	10.42976	0	0
71.0	10.430628	0	0
72.0	10.431413	0	0
73.0	10.432123	0	0
74.0	10.432765	0	0
75.0	10.433345	0	0
76.0	10.43387	0	0
77.0	10.434345	0	0
78.0	10.434774	0	0
79.0	10.435162	0	0
80.0	10.435512	0	0
81.0	10.43583	0	0
82.0	10.436116	0	0
83.0	10.436376	0	0
84.0	10.43661	0	0
85.0	10.436822	0	0
86.0	10.437014	0	0
87.0	10.437187	0	0
88.0	10.437344	0	0
89.0	10.437486	0	0
90.0	10.437614	0	0
91.0	10.43773	0	0
92.0	10.437834	0	0
93.0	10.437929	0	0
94.0	10.438015	0	0
95.0	10.438092	0	0
96.0	10.438162	0	0
97.0	10.438226	0	0
98.0	10.438283	0	0
99.0	10.438335	0	0
100.0	10.438381	0	0

